#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
22,11-10-23T20-00-54,mono,api-monitor,29.142423,10.736813,5.871887,5.493978,38.652527,21.138794,19.778320,36.10344827586207
22,11-10-23T20-00-54,mono,frontend-baseline,40.178852,12.555305,6.076067,7.506493,45.199097,21.873840,27.023376,34.2
22,11-10-23T20-00-54,mono,frontend-monitor,40.182823,12.871925,6.196035,7.549201,46.338928,22.305725,27.177124,36.625
23,11-10-23T20-00-54,mono,api-baseline,29.130616,10.531531,5.699904,5.477787,37.913513,20.519653,19.720032,34.96551724137931
23,11-10-23T20-00-54,mono,api-monitor,29.099769,55.953250,47.439592,5.239614,201.431702,170.782532,18.862610,38.6551724137931
23,11-10-23T20-00-54,mono,frontend-baseline,40.161328,12.810364,6.138085,7.583669,46.117310,22.097107,27.301208,34.2
23,11-10-23T20-00-54,mono,frontend-monitor,40.176776,12.246043,5.707381,7.508358,44.085754,20.546570,27.030090,36.175
24,11-10-23T20-00-54,mono,api-baseline,29.115879,14.135624,7.804989,5.860833,50.888245,28.097961,21.098999,36.48275862068966
24,11-10-23T20-00-54,mono,api-monitor,29.151871,10.067817,5.031009,5.450355,36.244141,18.111633,19.621277,34.310344827586206
24,11-10-23T20-00-54,mono,frontend-baseline,40.235427,13.314243,6.596731,7.553355,47.931274,23.748230,27.192078,34.65
24,11-10-23T20-00-54,mono,frontend-monitor,40.197524,12.866245,6.161296,7.594808,46.318481,22.180664,27.341309,36.25
25,11-10-23T20-00-54,mono,api-baseline,29.154732,10.392524,5.598501,5.459544,37.413086,20.154602,19.654358,35.13793103448276
25,11-10-23T20-00-54,mono,api-monitor,29.152598,9.364878,4.573534,5.470734,33.713562,16.464722,19.694641,33.86206896551724
25,11-10-23T20-00-54,mono,frontend-baseline,40.237323,12.624766,6.123437,7.521651,45.449158,22.044373,27.077942,34.025
25,11-10-23T20-00-54,mono,frontend-monitor,40.194959,12.946048,6.266598,7.563867,46.605774,22.559753,27.229919,36.15
26,11-10-23T20-00-54,mono,api-baseline,29.167739,9.402534,4.681549,5.441827,33.849121,16.853577,19.590576,34.206896551724135
26,11-10-23T20-00-54,mono,api-monitor,29.126942,9.363878,4.609155,5.457052,33.709961,16.592957,19.645386,34.275862068965516
26,11-10-23T20-00-54,mono,frontend-baseline,40.214894,20.366584,13.106367,7.548116,73.319702,47.182922,27.173218,34.65
26,11-10-23T20-00-54,mono,frontend-monitor,40.189032,14.222243,6.975199,7.637566,51.200073,25.110718,27.495239,39.775
27,11-10-23T20-00-54,mono,api-baseline,29.112514,62.618425,55.414073,5.408546,225.426331,199.490662,19.470764,41.3448275862069
27,11-10-23T20-00-54,mono,api-monitor,29.154477,8.629744,3.872223,5.470072,31.067078,13.940002,19.692261,34.172413793103445
27,11-10-23T20-00-54,mono,frontend-baseline,40.204235,12.160441,5.663300,7.512021,43.777588,20.387878,27.043274,34.25
27,11-10-23T20-00-54,mono,frontend-monitor,40.220817,13.187748,6.424849,7.552490,47.475891,23.129456,27.188965,36.15
28,11-10-23T20-00-54,mono,api-baseline,29.150438,9.508124,4.651540,5.498115,34.229248,16.745544,19.793213,34.172413793103445
28,11-10-23T20-00-54,mono,api-monitor,29.145088,9.075979,4.250692,5.489824,32.673523,15.302490,19.763367,33.86206896551724
28,11-10-23T20-00-54,mono,frontend-baseline,40.178127,13.561198,6.867455,7.569495,48.820312,24.722839,27.250183,34.625
28,11-10-23T20-00-54,mono,frontend-monitor,40.187987,12.395376,5.748037,7.564663,44.623352,20.692932,27.232788,35.725
29,11-10-23T20-00-54,mono,api-baseline,29.126098,17.417755,11.844364,5.593313,62.703918,42.639709,20.135925,35.55172413793103
29,11-10-23T20-00-54,mono,api-monitor,29.136752,9.601610,4.696096,5.536058,34.565796,16.905945,19.929810,34.03448275862069
29,11-10-23T20-00-54,mono,frontend-baseline,40.193294,12.340817,5.775282,7.531348,44.426941,20.791016,27.112854,34.775
29,11-10-23T20-00-54,mono,frontend-monitor,40.179564,13.161553,6.417948,7.598029,47.381592,23.104614,27.352905,36.525
3,11-10-23T20-00-54,mono,api-baseline,29.084754,69.797109,32.094201,7.942081,251.269592,115.539124,28.591492,64.79310344827586
3,11-10-23T20-00-54,mono,api-monitor,29.161886,85.235358,30.543365,7.625817,306.847290,109.956116,27.452942,66.37931034482759
3,11-10-23T20-00-54,mono,frontend-baseline,40.253700,102.195825,32.567105,10.337491,367.904968,117.241577,37.214966,67.425
3,11-10-23T20-00-54,mono,frontend-monitor,40.085183,45.930074,30.419074,8.761885,165.348267,109.508667,31.542786,59.05
30,11-10-23T20-00-54,mono,api-baseline,29.168377,9.682515,4.843207,5.476668,34.857056,17.435547,19.716003,35.793103448275865
30,11-10-23T20-00-54,mono,api-monitor,29.168092,9.678819,4.765981,5.536397,34.843750,17.157532,19.931030,34.241379310344826
30,11-10-23T20-00-54,mono,frontend-baseline,40.194037,36.439667,29.047529,7.833218,131.182800,104.571106,28.199585,36.225
30,11-10-23T20-00-54,mono,frontend-monitor,40.174018,12.755636,6.045176,7.576955,45.920288,21.762634,27.277039,36.45
4,11-10-23T20-00-54,mono,api-baseline,29.151518,98.002862,31.855943,7.620256,352.810303,114.681396,27.432922,69.93103448275862
4,11-10-23T20-00-54,mono,api-monitor,29.109583,55.492130,24.614902,6.949039,199.771667,88.613647,25.016541,62.172413793103445
4,11-10-23T20-00-54,mono,frontend-baseline,40.072679,64.455227,37.349175,9.673309,232.038818,134.457031,34.823914,53.325
