Iteration,Architecture,File Name,Duration,# Iterations,Cumulative Package Energy_0 (mWh)
1,mono,1-frontend-baseline.csv,5,10,35.851864
1,mono,1-frontend-monitor.csv,5,10,45.651482
10,mono,10-api-baseline.csv,5,10,18.170285
10,mono,10-api-monitor.csv,5,10,48.340556
10,mono,10-frontend-baseline.csv,5,10,48.516354
10,mono,10-frontend-monitor.csv,5,10,28.506114
2,mono,2-api-baseline.csv,5,10,24.131911
2,mono,2-api-monitor.csv,5,10,43.685744
2,mono,2-frontend-baseline.csv,5,10,21.578776
2,mono,2-frontend-monitor.csv,5,10,15.013326
3,mono,3-api-baseline.csv,5,10,16.385464
3,mono,3-api-monitor.csv,5,10,5.935991
3,mono,3-frontend-baseline.csv,5,10,3.621080
3,mono,3-frontend-monitor.csv,5,10,3.901689
4,mono,4-api-baseline.csv,5,10,4.090797
4,mono,4-api-monitor.csv,5,10,5.479872
4,mono,4-frontend-baseline.csv,5,10,3.169725
4,mono,4-frontend-monitor.csv,5,10,4.752062
5,mono,5-api-baseline.csv,5,10,6.939206
5,mono,5-api-monitor.csv,5,10,15.193939
5,mono,5-frontend-baseline.csv,5,10,47.931875
5,mono,5-frontend-monitor.csv,5,10,42.637872
6,mono,6-api-baseline.csv,5,10,53.277147
6,mono,6-api-monitor.csv,5,10,37.131415
6,mono,6-frontend-baseline.csv,5,10,23.678640
6,mono,6-frontend-monitor.csv,5,10,13.839213
7,mono,7-api-baseline.csv,5,10,10.105574
7,mono,7-api-monitor.csv,5,10,4.674513
7,mono,7-frontend-baseline.csv,5,10,3.987562
7,mono,7-frontend-monitor.csv,5,10,4.019182
8,mono,8-api-baseline.csv,5,10,3.636865
8,mono,8-api-monitor.csv,5,10,4.798194
8,mono,8-frontend-baseline.csv,5,10,3.425106
8,mono,8-frontend-monitor.csv,5,10,4.626363
9,mono,9-api-baseline.csv,5,10,12.635549
9,mono,9-api-monitor.csv,5,10,17.794427
9,mono,9-frontend-baseline.csv,5,10,24.583384
9,mono,9-frontend-monitor.csv,5,10,29.588555
1,micro,1-api-baseline.csv,60,10,65.438944
1,micro,1-api-monitor.csv,60,10,202.426961
1,micro,1-frontend-baseline.csv,60,10,54.433950
1,micro,1-frontend-monitor.csv,60,10,50.084517
10,micro,10-api-baseline.csv,60,10,205.265113
10,micro,10-api-monitor.csv,60,10,86.033766
10,micro,10-frontend-baseline.csv,60,10,14.994032
10,micro,10-frontend-monitor.csv,60,10,14.233805
2,micro,2-api-baseline.csv,60,10,228.246189
2,micro,2-api-monitor.csv,60,10,129.858619
2,micro,2-frontend-baseline.csv,60,10,43.456692
2,micro,2-frontend-monitor.csv,60,10,64.442681
3,micro,3-api-baseline.csv,60,10,266.735535
3,micro,3-api-monitor.csv,60,10,70.378672
3,micro,3-frontend-baseline.csv,60,10,14.438748
3,micro,3-frontend-monitor.csv,60,10,20.432994
4,micro,4-api-baseline.csv,60,10,292.907342
4,micro,4-api-monitor.csv,60,10,57.114393
4,micro,4-frontend-baseline.csv,60,10,7.932943
4,micro,4-frontend-monitor.csv,60,10,8.451640
5,micro,5-api-baseline.csv,60,10,223.120185
5,micro,5-api-monitor.csv,60,10,115.839335
5,micro,5-frontend-baseline.csv,60,10,6.702203
5,micro,5-frontend-monitor.csv,60,10,9.226752
6,micro,6-api-baseline.csv,60,10,117.026638
6,micro,6-api-monitor.csv,60,10,110.095232
6,micro,6-frontend-baseline.csv,60,10,5.211300
6,micro,6-frontend-monitor.csv,60,10,6.895786
7,micro,7-api-baseline.csv,60,10,226.844177
7,micro,7-api-monitor.csv,60,10,169.043172
7,micro,7-frontend-baseline.csv,60,10,5.575578
7,micro,7-frontend-monitor.csv,60,10,6.141052
