InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,C-State,Resident,Count,Latency
14-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.014%,549,10
14-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.042%,902,2
14-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,9,POLL,0.000%,5,0
14-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,10,C0,0.592%
21-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,96.846%,22132,890
21-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.018%,139,480
21-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,2.212%,8856,200
21-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.002%,15,124
21-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.181%,2681,85
21-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.009%,458,70
21-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.074%,786,10
21-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.046%,1103,2
21-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,9,POLL,0.000%,6,0
21-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,10,C0,0.610%
27-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,96.517%,77556,890
27-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.020%,503,480
27-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,2.440%,32538,200
27-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.003%,49,124
27-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.164%,8931,85
27-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.010%,1660,70
27-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.103%,4116,10
27-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.067%,5621,2
27-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,9,POLL,0.000%,24,0
27-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,10,C0,0.676%
19-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,96.647%,76053,890
19-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.026%,471,480
19-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,2.311%,31840,200
19-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.002%,33,124
19-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.182%,9528,85
19-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.012%,2022,70
19-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.072%,3474,10
19-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.061%,5129,2
19-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,9,POLL,0.000%,23,0
19-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,10,C0,0.687%
13-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,96.816%,22323,890
13-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.016%,147,480
13-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,2.268%,8770,200
13-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.002%,15,124
13-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.176%,2538,85
13-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.010%,586,70
13-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.035%,622,10
13-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.044%,744,2
13-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,9,POLL,0.000%,10,0
13-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,10,C0,0.634%
20-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,96.758%,82201,890
20-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.021%,498,480
20-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,2.237%,32125,200
20-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.003%,57,124
20-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.227%,11892,85
20-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.011%,2136,70
20-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.069%,3473,10
20-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.049%,3648,2
20-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,9,POLL,0.000%,24,0
20-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,10,C0,0.625%
23-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,96.805%,19495,890
23-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.023%,125,480
23-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,2.318%,8982,200
23-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.002%,11,124
23-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.157%,2671,85
23-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.011%,650,70
23-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.009%,659,10
23-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.093%,2407,2
23-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,9,POLL,0.000%,10,0
23-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,10,C0,0.582%
29-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,97.016%,21000,890
29-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.021%,108,480
29-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,2.123%,8275,200
29-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.002%,11,124
29-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.138%,2278,85
29-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.010%,503,70
29-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.008%,458,10
29-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.071%,1721,2
29-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,9,POLL,0.000%,6,0
29-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,10,C0,0.612%
12-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,96.672%,81503,890
12-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.019%,482,480
12-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,2.286%,30615,200
12-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.002%,38,124
12-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.159%,9433,85
12-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.016%,2268,70
12-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.105%,4828,10
12-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.054%,4508,2
12-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,9,POLL,0.000%,27,0
12-api-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,10,C0,0.688%
8-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,97.021%,23900,890
8-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.021%,123,480
8-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,2.105%,8183,200
8-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.003%,15,124
8-frontend-baseline.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.182%,2454,85
