#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
22,02-10-23T23-49-02,mono,frontend-baseline,6.051389,23.888753,5.648566,1.643321,85.999512,20.334839,5.915955,70.33333333333333
22,02-10-23T23-49-02,mono,frontend-monitor,6.021181,42.444865,23.653293,1.950260,152.801514,85.151855,7.020935,73.0
23,02-10-23T23-49-02,mono,api-baseline,62.304979,253.492771,64.410231,17.256029,912.573975,231.876831,62.121704,73.24193548387096
23,02-10-23T23-49-02,mono,api-monitor,62.363530,211.011149,51.077881,16.543054,759.640137,183.880371,59.554993,71.91935483870968
23,02-10-23T23-49-02,mono,frontend-baseline,6.052016,23.287710,5.084652,1.621568,83.835754,18.304749,5.837646,71.16666666666667
23,02-10-23T23-49-02,mono,frontend-monitor,6.028199,27.906579,8.930257,1.704492,100.463684,32.148926,6.136169,75.5
24,02-10-23T23-49-02,mono,api-baseline,62.343716,225.592499,59.676904,16.919793,812.132996,214.836853,60.911255,66.04838709677419
24,02-10-23T23-49-02,mono,api-monitor,62.295694,173.433770,50.009410,17.079180,624.361572,180.033875,61.485046,68.5
24,02-10-23T23-49-02,mono,frontend-baseline,6.047478,22.655334,5.090383,1.617754,81.559204,18.325378,5.823914,71.16666666666667
24,02-10-23T23-49-02,mono,frontend-monitor,6.040130,23.631015,5.321503,1.640015,85.071655,19.157410,5.904053,72.83333333333333
25,02-10-23T23-49-02,mono,api-baseline,62.355354,242.858751,54.954122,16.943410,874.291504,197.834839,60.996277,72.58064516129032
25,02-10-23T23-49-02,mono,api-monitor,62.308338,163.805339,48.120405,16.968723,589.699219,173.233459,61.087402,69.04838709677419
25,02-10-23T23-49-02,mono,frontend-baseline,6.042202,5.458866,3.308987,1.402367,19.651917,11.912354,5.048523,57.333333333333336
25,02-10-23T23-49-02,mono,frontend-monitor,6.040067,8.294661,2.852851,1.647000,29.860779,10.270264,5.929199,61.833333333333336
26,02-10-23T23-49-02,mono,api-baseline,62.326868,79.936150,35.149994,16.201189,287.770142,126.539978,58.324280,59.04838709677419
26,02-10-23T23-49-02,mono,api-monitor,62.328048,101.026221,34.609561,17.054223,363.694397,124.594421,61.395203,61.61290322580645
26,02-10-23T23-49-02,mono,frontend-baseline,6.031182,8.764343,2.873518,1.689826,31.551636,10.344666,6.083374,62.5
26,02-10-23T23-49-02,mono,frontend-monitor,6.029658,7.199470,5.589701,1.235335,25.918091,20.122925,4.447205,58.5
27,02-10-23T23-49-02,mono,api-baseline,62.254687,85.515238,33.554518,16.446160,307.854858,120.796265,59.206177,56.24193548387097
27,02-10-23T23-49-02,mono,api-monitor,62.334057,162.384033,45.797899,17.597402,584.582520,164.872437,63.350647,67.46774193548387
27,02-10-23T23-49-02,mono,frontend-baseline,6.029761,23.044349,5.083906,1.637692,82.959656,18.302063,5.895691,69.5
27,02-10-23T23-49-02,mono,frontend-monitor,6.045236,23.526442,5.196516,1.646271,84.695190,18.707458,5.926575,70.33333333333333
28,02-10-23T23-49-02,mono,api-baseline,62.281269,234.854482,52.360314,16.673567,845.476135,188.497131,60.024841,69.69354838709677
28,02-10-23T23-49-02,mono,api-monitor,62.368762,239.575043,53.068593,16.800351,862.470154,191.046936,60.481262,72.24193548387096
28,02-10-23T23-49-02,mono,frontend-baseline,6.051637,23.567522,5.638021,1.647475,84.843079,20.296875,5.930908,69.66666666666667
