InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,MonoFrontendDuration,MonoBackendDuration,MicroFrontendDuration,MicroBackendDuration,C-State,Resident,Count,Latency
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,5,C6,0.172%,9087,85
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,6,C3,0.010%,1587,70
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,7,C1E,0.102%,4492,10
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,8,C1,0.058%,4608,2
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,9,POLL,0.000%,19,0
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,10,C0,0.673%
6-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,1,C10,97.063%,71469,890
6-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,2,C9,0.024%,433,480
6-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,3,C8,1.868%,27344,200
6-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,4,C7s,0.002%,32,124
6-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,5,C6,0.188%,10382,85
6-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,6,C3,0.012%,1957,70
6-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,7,C1E,0.116%,4622,10
6-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,8,C1,0.071%,6789,2
6-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,9,POLL,0.000%,14,0
6-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,10,C0,0.655%
16-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,1,C10,97.387%,79007,890
16-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,2,C9,0.024%,367,480
16-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,3,C8,1.659%,23914,200
16-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,4,C7s,0.002%,40,124
16-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,5,C6,0.163%,8540,85
16-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,6,C3,0.013%,2168,70
