InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,MonoFrontendDuration,MonoBackendDuration,MicroFrontendDuration,MicroBackendDuration,C-State,Resident,Count,Latency
4-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,10,C0,0.495%
3-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,1,C10,98.171%,25695,890
3-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,2,C9,0.014%,125,480
3-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,3,C8,1.131%,6988,200
3-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,4,C7s,0.002%,18,124
3-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,5,C6,0.109%,2158,85
3-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,6,C3,0.006%,361,70
3-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,7,C1E,0.010%,729,10
3-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,8,C1,0.038%,1570,2
3-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,9,POLL,0.000%,6,0
3-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,10,C0,0.520%
3-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,1,C10,98.459%,21008,890
3-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,2,C9,0.019%,67,480
3-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,3,C8,0.889%,4531,200
3-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,4,C7s,0.001%,11,124
3-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,5,C6,0.051%,1367,85
3-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,6,C3,0.004%,317,70
3-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,7,C1E,0.020%,2338,10
3-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,8,C1,0.133%,6191,2
3-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,9,POLL,0.000%,15,0
3-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,10,C0,0.424%
4-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,1,C10,97.852%,23186,890
4-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,2,C9,0.018%,159,480
4-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,3,C8,1.341%,8728,200
4-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,4,C7s,0.001%,13,124
4-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,5,C6,0.160%,4190,85
4-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,6,C3,0.014%,947,70
4-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,7,C1E,0.019%,818,10
4-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,8,C1,0.075%,3239,2
4-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,9,POLL,0.000%,8,0
4-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,10,C0,0.519%
6-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,1,C10,98.186%,27051,890
6-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,2,C9,0.015%,138,480
6-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,3,C8,1.118%,7372,200
6-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,4,C7s,0.002%,11,124
6-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,5,C6,0.139%,2738,85
6-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,6,C3,0.005%,356,70
6-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,7,C1E,0.022%,590,10
6-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,8,C1,0.028%,875,2
6-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,9,POLL,0.000%,10,0
6-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,10,C0,0.486%
1-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,1,C10,98.054%,25244,890
1-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,2,C9,0.035%,181,480
1-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,3,C8,1.216%,7859,200
1-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,4,C7s,0.000%,0,124
1-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,5,C6,0.141%,3313,85
1-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,6,C3,0.008%,566,70
1-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,7,C1E,0.015%,497,10
1-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,8,C1,0.034%,1391,2
1-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,9,POLL,0.000%,5,0
1-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,10,C0,0.495%
5-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,1,C10,97.964%,26627,890
5-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,2,C9,0.040%,178,480
5-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,3,C8,1.227%,8094,200
5-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,4,C7s,0.001%,9,124
5-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,5,C6,0.171%,3710,85
5-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,6,C3,0.009%,589,70
5-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,7,C1E,0.020%,726,10
5-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,8,C1,0.023%,844,2
5-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,9,POLL,0.000%,10,0
5-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,10,C0,0.545%
1-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,1,C10,98.156%,25538,890
1-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,2,C9,0.017%,145,480
1-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,3,C8,1.165%,7730,200
1-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,4,C7s,0.001%,11,124
1-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,5,C6,0.140%,2976,85
1-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,6,C3,0.010%,654,70
1-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,7,C1E,0.022%,765,10
1-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,8,C1,0.036%,1857,2
1-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,9,POLL,0.000%,6,0
1-api-baseline.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,10,C0,0.453%
2-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,1,C10,94.728%,13939,890
2-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,2,C9,0.034%,104,480
2-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,3,C8,3.992%,7234,200
2-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,4,C7s,0.002%,11,124
2-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,5,C6,0.182%,1515,85
2-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,6,C3,0.016%,365,70
2-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,7,C1E,0.130%,722,10
2-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,8,C1,0.065%,760,2
2-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,9,POLL,0.000%,0,0
2-api-monitor.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,10,C0,0.851%
2-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,1,C10,94.404%,14963,890
2-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,2,C9,0.033%,55,480
2-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,3,C8,4.188%,7486,200
2-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,4,C7s,0.005%,13,124
2-api-baseline.csv,micro,20-02-24T12-51-21,1,5,10,10,2,20-02-24T12-51-21,20-02-24T12-58-27,20-02-24T13-05-46,,60,,60,5,C6,0.240%,1805,85
