Iteration,Architecture,ScenarioPath,Average_Temperature,refined
18,mono,1,10225.526287505601,True
18,mono,2,12726.919144648458,True
18,mono,3,20913.295768025084,True
19,micro,1,10166.365830721006,True
19,micro,2,12677.123301985375,True
19,micro,3,23330.06792058517,True
19,mono,1,10211.829467084643,True
19,mono,2,12712.329467084643,True
19,mono,3,20895.784012539192,True
20,micro,1,10134.857993730411,True
20,micro,2,12636.495924764895,True
20,micro,3,23262.3630094044,True
20,mono,1,10180.230721003138,True
20,mono,2,12675.73072100314,True
20,mono,3,20842.82163009405,True
21,micro,1,10094.010456784597,True
21,micro,2,12585.068338557998,True
21,micro,3,23170.31645768026,True
21,mono,1,10139.218898343039,True
21,mono,2,12625.683184057325,True
21,mono,3,20763.20266457681,True
22,micro,1,10039.579444693241,True
22,micro,2,12517.05809822362,True
22,micro,3,23045.87607105539,True
22,mono,1,10084.54957456337,True
22,mono,2,12557.906717420516,True
22,mono,3,20652.530094043894,True
23,micro,1,9939.5920734438,True
23,micro,2,12391.323928944623,True
23,micro,3,22820.04284221526,True
23,mono,1,9984.154411106138,True
23,mono,2,12435.08298253471,True
23,mono,3,20456.30376175549,True
24,micro,1,9913.336475593376,True
24,micro,2,12360.047230929993,True
24,micro,3,22754.760762800426,True
24,mono,1,9957.726735333636,True
24,mono,2,12399.191021047922,True
24,mono,3,20389.437774294678,True
25,micro,1,9922.18613972235,True
25,micro,2,12371.481295715783,True
25,micro,3,22773.698171368866,True
25,mono,1,9966.601074787284,True
25,mono,2,12409.422503358714,True
25,mono,3,20404.110815047028,True
26,micro,1,9913.748566950295,True
26,micro,2,12357.620898641593,True
26,micro,3,22765.814054336475,True
26,mono,1,9958.250515002243,True
26,mono,2,12405.857657859386,True
26,mono,3,20416.20830721004,True
27,micro,1,9887.21795790417,True
27,micro,2,12327.463113897602,True
27,micro,3,22694.875444096142,True
27,mono,1,9931.491983878195,True
27,mono,2,12366.563412449625,True
27,mono,3,20335.888087774303,True
28,micro,1,9908.772257053295,True
28,micro,2,12354.400417972836,True
28,micro,3,22744.133281086735,True
28,mono,1,9953.140438871476,True
28,mono,2,12393.390438871476,True
28,mono,3,20379.663166144208,True
29,micro,1,9806.905105239592,True
29,micro,2,12225.975548589346,True
29,micro,3,22515.17805642634,True
29,mono,1,9850.870040304526,True
29,mono,2,12268.941468875955,True
29,mono,3,20182.62978056427,True
30,micro,1,9827.758531124051,True
30,micro,2,12254.7880877743,True
30,micro,3,22553.376489028222,True
30,mono,1,9871.711777877299,True
30,mono,2,12289.14034930587,True
30,mono,3,20200.72476489029,True
