#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh)
8,20-09-23T02-30-52,micro,frontend-monitor,11.062035,5.139041,2.821011,2.070279
9,20-09-23T02-30-52,micro,api-baseline,12.035208,4.473097,2.175446,2.262777
9,20-09-23T02-30-52,micro,api-monitor,12.059731,18.451521,9.489509,2.819197
9,20-09-23T02-30-52,micro,frontend-baseline,11.033553,4.302182,2.186296,2.085368
9,20-09-23T02-30-52,micro,frontend-monitor,11.045397,33.110182,27.879113,2.490523
1,20-09-23T02-30-52,mono,api-baseline,12.057493,32.098813,8.963928,3.245799
1,20-09-23T02-30-52,mono,api-monitor,12.076010,37.764893,9.692722,3.121677
1,20-09-23T02-30-52,mono,frontend-baseline,6.053876,17.112935,5.088535,1.739214
1,20-09-23T02-30-52,mono,frontend-monitor,6.037701,18.769040,5.552809,1.554209
10,20-09-23T02-30-52,mono,api-baseline,12.071908,31.119046,25.763397,2.754093
10,20-09-23T02-30-52,mono,api-monitor,12.072058,6.943461,4.454956,2.319234
10,20-09-23T02-30-52,mono,frontend-baseline,6.048151,2.390883,1.217787,1.157752
10,20-09-23T02-30-52,mono,frontend-monitor,6.036879,8.575270,6.915927,1.106415
2,20-09-23T02-30-52,mono,api-baseline,12.048783,36.540324,8.641103,3.061744
2,20-09-23T02-30-52,mono,api-monitor,12.078177,32.126329,9.266222,3.221639
2,20-09-23T02-30-52,mono,frontend-baseline,6.035004,19.840325,4.760098,1.551988
2,20-09-23T02-30-52,mono,frontend-monitor,6.044395,27.580295,24.949002,1.343486
3,20-09-23T02-30-52,mono,api-baseline,12.081846,49.537777,29.874369,3.297865
3,20-09-23T02-30-52,mono,api-monitor,12.089824,37.751465,8.595666,3.105384
3,20-09-23T02-30-52,mono,frontend-baseline,6.035621,45.584140,27.883216,2.101508
3,20-09-23T02-30-52,mono,frontend-monitor,6.036661,16.813185,4.050429,1.543189
4,20-09-23T02-30-52,mono,api-baseline,12.063627,6.157854,3.502248,2.288395
4,20-09-23T02-30-52,mono,api-monitor,12.057848,20.522953,6.944580,3.000912
4,20-09-23T02-30-52,mono,frontend-baseline,6.042086,17.416653,4.435916,1.570401
4,20-09-23T02-30-52,mono,frontend-monitor,6.049102,15.970900,10.086093,1.599053
5,20-09-23T02-30-52,mono,api-baseline,12.069010,37.978041,9.631127,3.095907
5,20-09-23T02-30-52,mono,api-monitor,12.071307,41.790670,26.004367,3.268687
5,20-09-23T02-30-52,mono,frontend-baseline,6.038642,18.882243,4.744568,1.550174
5,20-09-23T02-30-52,mono,frontend-monitor,6.041418,8.360664,3.521271,1.503347
6,20-09-23T02-30-52,mono,api-baseline,12.077239,16.562195,5.051693,3.111623
6,20-09-23T02-30-52,mono,api-monitor,12.075982,21.245643,5.970510,3.209483
6,20-09-23T02-30-52,mono,frontend-baseline,6.049537,9.515957,2.811076,1.607649
6,20-09-23T02-30-52,mono,frontend-monitor,6.050427,37.715285,35.119069,1.240506
7,20-09-23T02-30-52,mono,api-baseline,12.074611,25.037893,7.757636,3.210297
7,20-09-23T02-30-52,mono,api-monitor,12.074914,39.428694,9.549527,3.139496
7,20-09-23T02-30-52,mono,frontend-baseline,6.043001,19.690976,5.357276,1.786991
7,20-09-23T02-30-52,mono,frontend-monitor,6.051522,9.171855,3.181305,1.579709
8,20-09-23T02-30-52,mono,api-baseline,12.086209,35.466156,8.772346,3.235864
8,20-09-23T02-30-52,mono,api-monitor,12.070511,39.655084,9.295909,3.090820
8,20-09-23T02-30-52,mono,frontend-baseline,6.043749,17.339410,4.533522,1.577199
8,20-09-23T02-30-52,mono,frontend-monitor,6.041893,2.258267,1.133660,1.130880
9,20-09-23T02-30-52,mono,api-baseline,12.076098,50.817685,43.992869,2.967207
9,20-09-23T02-30-52,mono,api-monitor,12.063801,29.977722,13.289727,3.342319
9,20-09-23T02-30-52,mono,frontend-baseline,6.037989,14.194828,6.090647,1.772817
9,20-09-23T02-30-52,mono,frontend-monitor,6.052085,2.296719,1.155192,1.118673
